"year_consumo","Rio","edad_consumo","transicion_label","N_mar","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2014,"Tolten",3,"3 → 4",11372.2826602764,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,618.408887516602,44.9276207402323,530.352368954672,706.465406078532,0.0726503477669152,193.742773677496,271.085292757514,153.580821081592,0.313292350075249,0.438359309236538,0.248348340688213
2014,"Valdivia",3,"3 → 4",2192.21773176221,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,119.209746116202,8.66062951254775,102.235224188164,136.18426804424,0.0726503477669152,37.3475015126186,52.2567019617615,29.605542641822,0.313292350075249,0.438359309236538,0.248348340688213
2015,"Bueno",1,"1 → 2",36843.9088143501,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,714.276115665411,53.4065315824134,609.601237224679,818.950994106139,0.0747701489817569,101.927201705454,117.998414307926,494.350499652031,0.1427,0.1652,0.6921
2015,"Imperial",1,"1 → 2",41975.9788848613,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,813.769225741173,60.8456462454365,694.513950484052,933.024500998289,0.0747701489817569,116.124868513265,134.434676092441,563.209681135465,0.1427,0.1652,0.6921
2015,"Tolten",1,"1 → 2",41320.9495697275,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,801.07047010104,59.8961583943408,683.676156835825,918.464783366251,0.0747701489817569,114.312756083418,132.336841660691,554.42087235693,0.1427,0.1652,0.6921
2015,"Valdivia",1,"1 → 2",7965.37696485705,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,154.421143178296,11.5460918813744,131.791218928612,177.051067427979,0.0747701489817569,22.0358971315427,25.5103728530544,106.874873193699,0.1427,0.1652,0.6921
2015,"Bueno",2,"2 → 3",43665.8041082734,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,2046.8346578925,86.8717772510225,1876.56910320751,2217.10021257749,0.0424420101135424,426.150975773218,682.209991475569,938.6783741095,0.2082,0.3333,0.4586
2015,"Imperial",2,"2 → 3",49748.1111592993,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,2331.94281348982,98.9723404743374,2137.96059069448,2525.92503628516,0.0424420101135424,485.51049376858,777.236539736156,1069.42897426643,0.2082,0.3333,0.4586
2015,"Tolten",2,"2 → 3",48971.7988004794,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,2295.55317006443,97.427890860049,2104.59801288904,2486.50832723983,0.0424420101135424,477.934170007415,765.107871582475,1052.74068379155,0.2082,0.3333,0.4586
2015,"Valdivia",2,"2 → 3",9440.21960179568,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,442.510313360071,18.7810271949749,405.700176465252,479.320450254889,0.0424420101135424,92.1306472415667,147.488687442911,202.935229706928,0.2082,0.3333,0.4586
